Topic,Count,Name
61,35,61_athletes_olympians_proud athletes_congratulations joebrier99
62,35,62_penalty_swevaus_penalty swevaus_swevaus penalty
63,35,63_pakistan_uae_athletes_afghanistan
64,34,64_asked_asked happier_india elated_happier start
65,34,65_smith_brendon_brendon smith_swim
66,33,66_matildas_sweden_matildas sweden_attacking
67,32,67_mirabaichanu cheer4india_cheer4india_cheer4india mirabaichanu_mirabaichanu congratulations
68,32,68_day mirabaichanu_indias 1st_medal day_weightlifting india
69,31,69_boxing_boxers_welterweights_delante
70,31,70_loving_let party_officially held_waiting gymnastics
71,31,71_400m_mens 400m_heat_400
72,30,72_malaysia_malaysiaboleh_malaysiaboleh congrats_malaysia malaysia
73,30,73_time india_india clinches_clinches medal_day hearty
74,30,74_silver medal_medal india_silver_india
75,30,75_mirabai chanu_mirabai_chanu_saikhom mirabai
76,30,76_football_womens football_soccer_women
77,30,77_mcgrail_peter mcgrail_peter_butdee
78,29,78_display weightlifting_amazing display_absolutely amazing_display
79,29,79_cheer4india_medal cheer4india_indias mirabaichanu_medal medal
80,29,80_mirabaichanu teamindia_teamindia_teamindia mirabaichanu_proud teamindia
81,29,81_spain_waterpolo_water polo_polo
82,29,82_daddies_daddies daddies_daddies victory_mantap daddies
83,28,83_pen_pen swevaus_swevaus pen_swevaus
84,28,84_mirabaichanu mirabaichanu_mirabaichanu_congratulations mirabaichanu_power
85,27,85_congratulations mirabai_chanu winning_mirabai chanu_49 kg
86,27,86_silver weightlifting_huge congratulations_huge_winning silver
87,27,87_qian_yang qian_yang_chinas
88,27,88_medal womens_category_49kg_winning silver
89,27,89_potential_massive potential_long term_term quick
90,26,90_matildas_fark_pen matildas_matildas matildas
91,26,91_grande_carapaz_hispanos_grande carapaz
92,25,92_gift selflove_mensfashion_selflove_selfie mensfashion
93,24,93_matildas_matildas swevaus_swevaus_swevaus matildas
94,24,94_49_womens 49_49 kgs_kgs
95,24,95_thematildas_goaustralia_thematildas samkerr1_goaustralia thematildas
96,23,96_new zealand_zealand_hockey_new
97,23,97_chanu secured_secured medal_secured_country winning
98,23,98_weightlifting lets_lets cheer_cheer india_cheer
99,23,99_raymondcupid kyereminator_kyereminator daterush_watch hisbella4_kyereminator
100,22,100_mirabaichanu silver_silver_silver mirabaichanu_mam silver
101,22,101_nigeria_ghana_team_ghanas
102,22,102_aus_ausvswe_aussies_australia
103,22,103_winning silver_mirabaichanu winning_weightlifting medal_silver weightlifting
104,22,104_teamindia 49kg_silver medal_mirabaichanu won_medal radiant
105,21,105_swimming_bbcsport_bbc_swimming heats
106,21,106_mirabaichanu weightlifting_weightlifting_india mirabaichanu_india
107,21,107_mirabaichanu weightlifting_weightlifting_spirits_bow
108,21,108_history mirabai_teamindia mirabaichanu_chanu won_medal teamindia
109,21,109_giochiolimpici_forzaazzurri_olimpiadi forzaazzurri_olimpiadi
110,21,110_handball_portugal_egypt_esp
111,21,111_seto_daiya_daiya seto_shock
112,21,112_congratulations mirabai_chanu winning_chanu_mirabai
113,21,113_brazil_netherlands_netherlands brazil_brazil womens
114,20,114_mohanlal_mirabaichanu congratulations_mohanlal mirabaichanu_winning indias
115,20,115_day congratulations_congratulations saikhom_49kg weightlift_weightlift
116,20,116_saikhom_saikhom mirabai_congratulations saikhom_chanu winning
117,20,117_dreams_criticism blood_sacrifice_criticism
118,20,118_peaty_adam_adam peaty_adampeaty
119,19,119_actor_medal winner_favourite actor_winner mirabaichanu
120,19,120_peng_ying_chan peng_chan
121,19,121_taekwondo_jin_barbosa_kurt
122,18,122_fencing_samele fencing_samele_2nd round
123,18,123_congratulated winning_mirabaichanu congratulated_congratulated_spoke
124,18,124_strikes medal_india strikes_strikes_medal 49
125,17,125_mirabaichanu comes_comes india_mohanlal mirabaichanu_mohanlal
126,15,126_carrying_moment_proud moment_proud
127,15,127_cheer4india_country cheer4india_teamindia_medal teamindia
128,15,128_medal mirabai_kg womens_medal 49_womens weightlifting
