sequence,labels_scores,technology,politics,finance,wildlife,label,score
"@Nadeshot its like that in alot places now, it's called climate change","{'wildlife': 0.38513800501823425, 'technology': 0.2510771155357361, 'politics': 0.18875181674957275, 'finance': 0.17503301799297333}",0.2510771155357361,0.18875181674957275,0.17503301799297333,0.38513800501823425,wildlife,0.38513800501823425
"Pentagon video about the future of cities predicts inequality, climate change, scarcity, crumbling infrastructure: ","{'technology': 0.32437312602996826, 'politics': 0.26899513602256775, 'finance': 0.23633307218551636, 'wildlife': 0.17029866576194763}",0.32437312602996826,0.26899513602256775,0.23633307218551636,0.17029866576194763,technology,0.32437312602996826
"if not for climate change information, watch Before the Flood because Leonardo DiCaprio","{'technology': 0.3655570447444916, 'wildlife': 0.3427730202674866, 'politics': 0.15281546115875244, 'finance': 0.13885444402694702}",0.3655570447444916,0.15281546115875244,0.13885444402694702,0.3427730202674866,technology,0.3655570447444916
A web of truths: This is how climate change affects more than just the weather.  #ad ,"{'technology': 0.30733761191368103, 'wildlife': 0.3066542446613312, 'politics': 0.20712411403656006, 'finance': 0.17888399958610535}",0.30733761191368103,0.20712411403656006,0.17888399958610535,0.3066542446613312,technology,0.30733761191368103
L'Oreal named as global leader in climate change strategy #healthcare #comms #news  ,"{'technology': 0.40020549297332764, 'finance': 0.27388283610343933, 'wildlife': 0.17684097588062286, 'politics': 0.14907070994377136}",0.40020549297332764,0.14907070994377136,0.27388283610343933,0.17684097588062286,technology,0.40020549297332764
"@LeoDiCaprio @NatGeoChannel I watched it just now. Everybody, esp., world leaders must stand together and act on climate change.","{'politics': 0.5896717309951782, 'wildlife': 0.2136322259902954, 'technology': 0.14698925614356995, 'finance': 0.049706798046827316}",0.14698925614356995,0.5896717309951782,0.049706798046827316,0.2136322259902954,politics,0.5896717309951782
"@simeonst91 IÃ¢â‚¬â„¢m creating a new think tank for climate change, would you join and post your tweet also at  ?","{'technology': 0.35782983899116516, 'politics': 0.3260597288608551, 'wildlife': 0.19811180233955383, 'finance': 0.11799868196249008}",0.35782983899116516,0.3260597288608551,0.11799868196249008,0.19811180233955383,technology,0.35782983899116516
Nicely said: 'Financiers are not philanthropists. But (...) allies in the fight against climate change' [in French] ,"{'finance': 0.9820054769515991, 'politics': 0.012789790518581867, 'wildlife': 0.0026734324637800455, 'technology': 0.002531281439587474}",0.002531281439587474,0.012789790518581867,0.9820054769515991,0.0026734324637800455,finance,0.9820054769515991
A remarkable man and his work on climate change is so impressive more people need to see it... ,"{'technology': 0.34815892577171326, 'wildlife': 0.28429874777793884, 'politics': 0.21596276760101318, 'finance': 0.15157952904701233}",0.34815892577171326,0.21596276760101318,0.15157952904701233,0.28429874777793884,technology,0.34815892577171326
@MikeBloomberg @LeoDiCaprio why aren't you vegan? meat industry contributes GREATLY to climate change and deforestation!,"{'politics': 0.3041217029094696, 'wildlife': 0.3001179099082947, 'finance': 0.2807594835758209, 'technology': 0.11500085890293121}",0.11500085890293121,0.3041217029094696,0.2807594835758209,0.3001179099082947,politics,0.3041217029094696
Ã‚Â«The Mediterranean will become a desert unless global warming is limited to 1.5CÃ‚Â»,"{'technology': 0.3020874559879303, 'politics': 0.29531732201576233, 'wildlife': 0.29354622960090637, 'finance': 0.10904894769191742}",0.3020874559879303,0.29531732201576233,0.10904894769191742,0.29354622960090637,technology,0.3020874559879303
It's #2016 and I can't believe people still don't believe in climate change its effing science.,"{'politics': 0.42124950885772705, 'technology': 0.23562310636043549, 'wildlife': 0.2220129519701004, 'finance': 0.1211143210530281}",0.23562310636043549,0.42124950885772705,0.1211143210530281,0.2220129519701004,politics,0.42124950885772705
Respecting First Nations sovereignty. Fighting petrocapitalism. Standing up against climate change. Get after it. #NoDAPL,"{'politics': 0.6559368371963501, 'finance': 0.20505748689174652, 'wildlife': 0.09330376237630844, 'technology': 0.045701928436756134}",0.045701928436756134,0.6559368371963501,0.20505748689174652,0.09330376237630844,politics,0.6559368371963501
A huge climate change victory just happened in Rwanda Ã¢â‚¬â€ and few peopleÃ‚ noticed  ,"{'politics': 0.35678035020828247, 'wildlife': 0.30441755056381226, 'technology': 0.2285693883895874, 'finance': 0.11023276299238205}",0.2285693883895874,0.35678035020828247,0.11023276299238205,0.30441755056381226,politics,0.35678035020828247
"@annaa_page I asked my dad to watch this documentary that just came out on climate change, and legit turned it into a trump vs hillary thing","{'politics': 0.853145956993103, 'technology': 0.08007214218378067, 'wildlife': 0.04070121794939041, 'finance': 0.026080645620822906}",0.08007214218378067,0.853145956993103,0.026080645620822906,0.04070121794939041,politics,0.853145956993103
"@chefBOYERdee1 Al Gore, creator of the internet and global warming.","{'technology': 0.9450761675834656, 'politics': 0.022885724902153015, 'wildlife': 0.017937567085027695, 'finance': 0.01410056371241808}",0.9450761675834656,0.022885724902153015,0.01410056371241808,0.017937567085027695,technology,0.9450761675834656
Watch on #Periscope: global warming Winston Neace ,"{'technology': 0.3528653681278229, 'wildlife': 0.2786969840526581, 'politics': 0.2212001383304596, 'finance': 0.14723743498325348}",0.3528653681278229,0.2212001383304596,0.14723743498325348,0.2786969840526581,technology,0.3528653681278229
@bmastenbrook yes wrote that in 3rd yr Comp Sci ethics part. Was told by climate change denying Lecturer that I was wrong &amp; marked down.,"{'technology': 0.4250399172306061, 'politics': 0.30081525444984436, 'wildlife': 0.15005022287368774, 'finance': 0.12409453839063644}",0.4250399172306061,0.30081525444984436,0.12409453839063644,0.15005022287368774,technology,0.4250399172306061
National Geographic's climate change doc with DiCaprio is on YouTube ,"{'wildlife': 0.527459979057312, 'technology': 0.24321910738945007, 'politics': 0.13737115263938904, 'finance': 0.09194977581501007}",0.24321910738945007,0.13737115263938904,0.09194977581501007,0.527459979057312,wildlife,0.527459979057312
How do ghosts cool their environment and could we use that to combat global warming? #funny,"{'technology': 0.5445159673690796, 'wildlife': 0.2221325933933258, 'politics': 0.16352204978466034, 'finance': 0.06982934474945068}",0.5445159673690796,0.16352204978466034,0.06982934474945068,0.2221325933933258,technology,0.5445159673690796
@sir_mycroft @Guiteric100 @rickygervais It's like not believing in global warming. You opposing war doesn't make the world a peaceful place.,"{'politics': 0.6415549516677856, 'technology': 0.22936031222343445, 'wildlife': 0.06955030560493469, 'finance': 0.0595344714820385}",0.22936031222343445,0.6415549516677856,0.0595344714820385,0.06955030560493469,politics,0.6415549516677856
"@alroker AL. I might be related to wright brothers, and i think I just solved global warming. I sent emails to everyone!","{'technology': 0.5751215815544128, 'politics': 0.19494496285915375, 'wildlife': 0.12006864696741104, 'finance': 0.10986478626728058}",0.5751215815544128,0.19494496285915375,0.10986478626728058,0.12006864696741104,technology,0.5751215815544128
"9 ways global warming is affecting daily life: Lakes disappearing, drinking water supply at risk  via @EnvDefenseFund","{'finance': 0.4381106197834015, 'wildlife': 0.26234063506126404, 'technology': 0.1769450306892395, 'politics': 0.12260378152132034}",0.1769450306892395,0.12260378152132034,0.4381106197834015,0.26234063506126404,finance,0.4381106197834015
"#weather Mediterranean to become desert unless global warming limited to 1.5Ã‚Â°C, study warns Ã¢â‚¬â€œ Inhabitat  #forecast","{'technology': 0.34236156940460205, 'wildlife': 0.31060540676116943, 'politics': 0.2069748044013977, 'finance': 0.14005814492702484}",0.34236156940460205,0.2069748044013977,0.14005814492702484,0.31060540676116943,technology,0.34236156940460205
"#weather Mediterranean to become desert unless global warming limited to 1.5Ã‚Â°C, study warns Ã¢â‚¬â€œ Inhabitat  #forecast","{'technology': 0.34236156940460205, 'wildlife': 0.31060540676116943, 'politics': 0.2069748044013977, 'finance': 0.14005814492702484}",0.34236156940460205,0.2069748044013977,0.14005814492702484,0.31060540676116943,technology,0.34236156940460205
Watch Leonardo DiCaprio's climate change documentary free for limited time  ,"{'wildlife': 0.4090086817741394, 'technology': 0.29044944047927856, 'politics': 0.1704937368631363, 'finance': 0.13004814088344574}",0.29044944047927856,0.1704937368631363,0.13004814088344574,0.4090086817741394,wildlife,0.4090086817741394
Alberta Tories are losing a big issue they've used to attack Notley's approach to climate change. ,"{'politics': 0.9737263321876526, 'wildlife': 0.00892509426921606, 'finance': 0.008795686066150665, 'technology': 0.008552836254239082}",0.008552836254239082,0.9737263321876526,0.008795686066150665,0.00892509426921606,politics,0.9737263321876526
Listen to 58 years of climate change in one minute - PBS NewsHour  ,"{'technology': 0.3135593831539154, 'wildlife': 0.27300825715065, 'politics': 0.22531527280807495, 'finance': 0.18811707198619843}",0.3135593831539154,0.22531527280807495,0.18811707198619843,0.27300825715065,technology,0.3135593831539154
@RonBaalke @Newegg and with climate change we can expect asteroids to become more frequent and powerful,"{'technology': 0.7851850986480713, 'wildlife': 0.0782914087176323, 'politics': 0.06925169378519058, 'finance': 0.06727182865142822}",0.7851850986480713,0.06925169378519058,0.06727182865142822,0.0782914087176323,technology,0.7851850986480713
"@CertainSm1 IÃ¢â‚¬â„¢m creating a new think tank for climate change, would you join and post your tweet also at  ?","{'politics': 0.3636236786842346, 'technology': 0.34838253259658813, 'wildlife': 0.18346662819385529, 'finance': 0.10452716052532196}",0.34838253259658813,0.3636236786842346,0.10452716052532196,0.18346662819385529,politics,0.3636236786842346
Recent pattern of cloud cover may have masked some global warming ,"{'technology': 0.3367886245250702, 'wildlife': 0.3359110355377197, 'politics': 0.16674424707889557, 'finance': 0.16055606305599213}",0.3367886245250702,0.16674424707889557,0.16055606305599213,0.3359110355377197,technology,0.3367886245250702
Satellites help scientists see forests for the trees amid climate change  via @physorg_com,"{'technology': 0.9821561574935913, 'wildlife': 0.01234748400747776, 'politics': 0.0030395155772566795, 'finance': 0.0024567691143602133}",0.9821561574935913,0.0030395155772566795,0.0024567691143602133,0.01234748400747776,technology,0.9821561574935913
Satellites help scientists see forests for the trees amid climate change -  ,"{'technology': 0.9814987182617188, 'wildlife': 0.015276369638741016, 'politics': 0.0016543134115636349, 'finance': 0.0015706125413998961}",0.9814987182617188,0.0016543134115636349,0.0015706125413998961,0.015276369638741016,technology,0.9814987182617188
"Is this who we really want to be? A nation with a leader who promotes bigotry, racism, anti-women, anti-journalism, anti-climate change?","{'politics': 0.9400625824928284, 'wildlife': 0.021877514198422432, 'technology': 0.01964961178600788, 'finance': 0.0184103325009346}",0.01964961178600788,0.9400625824928284,0.0184103325009346,0.021877514198422432,politics,0.9400625824928284
"100% agree with @DrJillStein on climate change. The choices in this election look to be 100 steps backwards, 50 steps forward, or zero.","{'politics': 0.885792076587677, 'technology': 0.047484394162893295, 'wildlife': 0.0343623086810112, 'finance': 0.03236118704080582}",0.047484394162893295,0.885792076587677,0.03236118704080582,0.0343623086810112,politics,0.885792076587677
75 degrees in StL on last day in October. I am all for this global warming hoax!,"{'politics': 0.5501934885978699, 'technology': 0.1803359091281891, 'wildlife': 0.16359592974185944, 'finance': 0.10587462782859802}",0.1803359091281891,0.5501934885978699,0.10587462782859802,0.16359592974185944,politics,0.5501934885978699
Y'all still don't believe in global warming SMH ,"{'wildlife': 0.33926281332969666, 'politics': 0.2830808758735657, 'technology': 0.26597970724105835, 'finance': 0.11167662590742111}",0.26597970724105835,0.2830808758735657,0.11167662590742111,0.33926281332969666,wildlife,0.33926281332969666
Everyone must watch #BeforetheFlood. Great documentary produced by @LeoDiCaprio &amp; his team showing effects of climate change. Eye-opening,"{'wildlife': 0.383640855550766, 'technology': 0.32822445034980774, 'politics': 0.15388891100883484, 'finance': 0.13424572348594666}",0.32822445034980774,0.15388891100883484,0.13424572348594666,0.383640855550766,wildlife,0.383640855550766
"@AngieNBC6 you do understand that climate change is natural, not necessarily caused by humans. It snowed in Miami, and the atlantic froze","{'wildlife': 0.34514474868774414, 'technology': 0.3287449777126312, 'politics': 0.19751332700252533, 'finance': 0.12859690189361572}",0.3287449777126312,0.19751332700252533,0.12859690189361572,0.34514474868774414,wildlife,0.34514474868774414
Recent pattern of cloud cover may have masked some global warming ,"{'technology': 0.3367886245250702, 'wildlife': 0.3359110355377197, 'politics': 0.16674424707889557, 'finance': 0.16055606305599213}",0.3367886245250702,0.16674424707889557,0.16055606305599213,0.3359110355377197,technology,0.3367886245250702
"Google is being very odd, we know they manipulate search results, but I woke up to a climate change documentary loaded up on YouTube...(1/2)","{'technology': 0.9877267479896545, 'politics': 0.007235155440866947, 'wildlife': 0.0026728492230176926, 'finance': 0.0023652417585253716}",0.9877267479896545,0.007235155440866947,0.0023652417585253716,0.0026728492230176926,technology,0.9877267479896545
Niggas asked me what my inspiration was l said global warming.,"{'wildlife': 0.30652666091918945, 'technology': 0.26469191908836365, 'politics': 0.2600564658641815, 'finance': 0.168724924325943}",0.26469191908836365,0.2600564658641815,0.168724924325943,0.30652666091918945,wildlife,0.30652666091918945
"They ask me my inspiration I tell em global warming, too cozy","{'wildlife': 0.3292950987815857, 'technology': 0.284403532743454, 'politics': 0.23253017663955688, 'finance': 0.15377120673656464}",0.284403532743454,0.23253017663955688,0.15377120673656464,0.3292950987815857,wildlife,0.3292950987815857
Probably the scariest thing you'll watch this Halloween. Leonardo Di Caprio's climate change documentary ,"{'technology': 0.2982519865036011, 'wildlife': 0.2854549288749695, 'politics': 0.24885746836662292, 'finance': 0.16743558645248413}",0.2982519865036011,0.24885746836662292,0.16743558645248413,0.2854549288749695,technology,0.2982519865036011
@POTUS watching @LeoDiCaprio docu. Funny you talk up doing something about climate change yet do nothing on #DAPL #NoDAPL #ClimateAction,"{'politics': 0.8088341951370239, 'technology': 0.066616952419281, 'wildlife': 0.06498487293720245, 'finance': 0.05956396833062172}",0.066616952419281,0.8088341951370239,0.05956396833062172,0.06498487293720245,politics,0.8088341951370239
"@highwaystarzo 1 of the benefits of global warming &amp; international terrorism,is that more people are holidaying in England,ill drink to that","{'technology': 0.38328495621681213, 'politics': 0.2743173837661743, 'finance': 0.1726156622171402, 'wildlife': 0.16978205740451813}",0.38328495621681213,0.2743173837661743,0.1726156622171402,0.16978205740451813,technology,0.38328495621681213
@TL_Wiese @HillaryClinton @realDonaldTrump He's hot headed and vindictive. He's pro use of nukes. He thinks climate change is a hoax.,"{'politics': 0.7884829044342041, 'technology': 0.1257927566766739, 'wildlife': 0.047440383583307266, 'finance': 0.03828396648168564}",0.1257927566766739,0.7884829044342041,0.03828396648168564,0.047440383583307266,politics,0.7884829044342041
Thinking wonÃ¢â‚¬â„¢t stop climate change ,"{'wildlife': 0.3932647407054901, 'technology': 0.24217087030410767, 'politics': 0.2050248384475708, 'finance': 0.15953947603702545}",0.24217087030410767,0.2050248384475708,0.15953947603702545,0.3932647407054901,wildlife,0.3932647407054901
@fisherstevensbk #beforetheflood taught me more about climate change than my entire formal education!! insightful and bold!!,"{'technology': 0.3790827691555023, 'wildlife': 0.3047240078449249, 'politics': 0.15985006093978882, 'finance': 0.15634316205978394}",0.3790827691555023,0.15985006093978882,0.15634316205978394,0.3047240078449249,technology,0.3790827691555023
"Im constantly on the verge of a climate change rampage 
WE ARE KILLING EARTH PEOPLE WAKE UP","{'wildlife': 0.49708524346351624, 'technology': 0.24056673049926758, 'politics': 0.19946879148483276, 'finance': 0.06287919729948044}",0.24056673049926758,0.19946879148483276,0.06287919729948044,0.49708524346351624,wildlife,0.49708524346351624
"@michellemalkin Trump wins election &amp; he is now a catalyst for climate change in Wash. No more cush jobs, they will be accountable,nopension","{'politics': 0.8940956592559814, 'technology': 0.056944746524095535, 'finance': 0.03104071505367756, 'wildlife': 0.017918908968567848}",0.056944746524095535,0.8940956592559814,0.03104071505367756,0.017918908968567848,politics,0.8940956592559814
Cloudy feedback on global warming -   #global ,"{'technology': 0.3671562969684601, 'wildlife': 0.3273949921131134, 'politics': 0.17408722639083862, 'finance': 0.1313614547252655}",0.3671562969684601,0.17408722639083862,0.1313614547252655,0.3273949921131134,technology,0.3671562969684601
"Canada not ready for climate change, report warns - The Globe and Mail - we have no time ","{'politics': 0.31222018599510193, 'wildlife': 0.2863585948944092, 'technology': 0.23813539743423462, 'finance': 0.16328579187393188}",0.23813539743423462,0.31222018599510193,0.16328579187393188,0.2863585948944092,politics,0.31222018599510193
"Global Climate Action Agenda at #COP22

Governments alone cannot solve global warming. Climate change affects us... ","{'politics': 0.5714548826217651, 'finance': 0.17596930265426636, 'technology': 0.1271810382604599, 'wildlife': 0.1253947913646698}",0.1271810382604599,0.5714548826217651,0.17596930265426636,0.1253947913646698,politics,0.5714548826217651
The new @NatGeo &amp; @LeoDiCaprio documentary on climate change #BeforeTheFlood is on Youtube. ,"{'wildlife': 0.4227540194988251, 'technology': 0.35876595973968506, 'politics': 0.13522958755493164, 'finance': 0.08325042575597763}",0.35876595973968506,0.13522958755493164,0.08325042575597763,0.4227540194988251,wildlife,0.4227540194988251
The worst thing about global warming is it allows people to wear flip-flops in public later on into the year.,"{'technology': 0.4661441445350647, 'wildlife': 0.21464817225933075, 'politics': 0.18054988980293274, 'finance': 0.13865776360034943}",0.4661441445350647,0.18054988980293274,0.13865776360034943,0.21464817225933075,technology,0.4661441445350647
"@rbsralaw 270 minutes of debate time, zero questions on climate change or education policy. ISIS! Emails! NAFTA!","{'politics': 0.6952230334281921, 'technology': 0.18324285745620728, 'finance': 0.07170925289392471, 'wildlife': 0.04982485994696617}",0.18324285745620728,0.6952230334281921,0.07170925289392471,0.04982485994696617,politics,0.6952230334281921
Company directors to face penalties for ignoring climate change #auspol politicians should too ,"{'politics': 0.9613207578659058, 'finance': 0.026071038097143173, 'wildlife': 0.006503226235508919, 'technology': 0.006105013191699982}",0.006105013191699982,0.9613207578659058,0.026071038097143173,0.006503226235508919,politics,0.9613207578659058
If global warming continues at the current pace it will change the Mediterranean regi ... #Tattoos #Funny #DIY ,"{'technology': 0.3574598729610443, 'wildlife': 0.2664722204208374, 'politics': 0.22332943975925446, 'finance': 0.15273845195770264}",0.3574598729610443,0.22332943975925446,0.15273845195770264,0.2664722204208374,technology,0.3574598729610443
@realDonaldTrump for president... now he just needs to realize the reality of climate change amongst a few other things #ivoted,"{'politics': 0.9269421696662903, 'technology': 0.0350588895380497, 'wildlife': 0.022427838295698166, 'finance': 0.015571173280477524}",0.0350588895380497,0.9269421696662903,0.015571173280477524,0.022427838295698166,politics,0.9269421696662903
"stp with the global climate change, put your efforts toward selling the sizzel EV's and PV's the key is more homes with solar #solarchat","{'technology': 0.8923454880714417, 'finance': 0.07411499321460724, 'politics': 0.028932590037584305, 'wildlife': 0.004606952425092459}",0.8923454880714417,0.028932590037584305,0.07411499321460724,0.004606952425092459,technology,0.8923454880714417
Leo's climate change documentary is so epic. He's amazing.,"{'wildlife': 0.4097369313240051, 'technology': 0.29931706190109253, 'politics': 0.20606864988803864, 'finance': 0.0848773792386055}",0.29931706190109253,0.20606864988803864,0.0848773792386055,0.4097369313240051,wildlife,0.4097369313240051
"Canada not ready for catastrophic effects of climate change, report warns: The report graded each province an... ","{'politics': 0.28664907813072205, 'wildlife': 0.2809033989906311, 'technology': 0.22605203092098236, 'finance': 0.2063954919576645}",0.22605203092098236,0.28664907813072205,0.2063954919576645,0.2809033989906311,politics,0.28664907813072205
"RT ClimateReality: Clean energy proves there are real, solid solutions to climate change that make economic sense!Ã¢â‚¬Â¦ ","{'technology': 0.9395538568496704, 'finance': 0.03002990037202835, 'politics': 0.016400905326008797, 'wildlife': 0.01401530671864748}",0.9395538568496704,0.016400905326008797,0.03002990037202835,0.01401530671864748,technology,0.9395538568496704
"Clouds are impeding global warmingÃ¢â‚¬Â¦ for now: 

Lawrence Livermore National Laboratory researchers have id... ","{'technology': 0.693795919418335, 'politics': 0.12010597437620163, 'wildlife': 0.10139839351177216, 'finance': 0.08469972014427185}",0.693795919418335,0.12010597437620163,0.08469972014427185,0.10139839351177216,technology,0.693795919418335
#Halloween's ok but if you really wanna get scared watch the new @NatGeoÃ¢â‚¬â€¹ climate change doc with @LeoDiCaprio ,"{'politics': 0.32396984100341797, 'wildlife': 0.3073016405105591, 'technology': 0.2753567695617676, 'finance': 0.09337177127599716}",0.2753567695617676,0.32396984100341797,0.09337177127599716,0.3073016405105591,politics,0.32396984100341797
"That climate change story you've always wanted to tell? 
Now's the time. #ClimateAction Film Contest. ","{'politics': 0.29371029138565063, 'technology': 0.2794119417667389, 'wildlife': 0.2412930577993393, 'finance': 0.18558469414710999}",0.2794119417667389,0.29371029138565063,0.18558469414710999,0.2412930577993393,politics,0.29371029138565063
"#ClimateChange #CC Polar vortex shifting due to climate change, extending winter, study ...  #UniteBlue #Tcot :-(","{'politics': 0.39391112327575684, 'wildlife': 0.26405254006385803, 'technology': 0.23115214705467224, 'finance': 0.11088422685861588}",0.23115214705467224,0.39391112327575684,0.11088422685861588,0.26405254006385803,politics,0.39391112327575684
"Before the Flood - National Geographic - Join Leonardo DiCaprio as he explores the topic of climate change.
","{'wildlife': 0.4480454623699188, 'technology': 0.24145705997943878, 'politics': 0.17388993501663208, 'finance': 0.1366075873374939}",0.24145705997943878,0.17388993501663208,0.1366075873374939,0.4480454623699188,wildlife,0.4480454623699188
@bhandel58 climate change is not the only thing of importance going on in the world. Role of govt is not to try to be the sun.,"{'politics': 0.6253217458724976, 'technology': 0.17881804704666138, 'wildlife': 0.10502240806818008, 'finance': 0.09083779901266098}",0.17881804704666138,0.6253217458724976,0.09083779901266098,0.10502240806818008,politics,0.6253217458724976
Fuck all the people who don't believe in global warming it's real and we need to actually need to pay attention to it,"{'politics': 0.4200340211391449, 'technology': 0.26226574182510376, 'wildlife': 0.22007238864898682, 'finance': 0.0976279005408287}",0.26226574182510376,0.4200340211391449,0.0976279005408287,0.22007238864898682,politics,0.4200340211391449
"If scientists can't convince the US that climate change is real, how can its citizens convince eachother to change?","{'politics': 0.6800975799560547, 'technology': 0.17059262096881866, 'wildlife': 0.0906369611620903, 'finance': 0.058672819286584854}",0.17059262096881866,0.6800975799560547,0.058672819286584854,0.0906369611620903,politics,0.6800975799560547
Adapting to climate change.. ,"{'wildlife': 0.5897783041000366, 'technology': 0.22630195319652557, 'finance': 0.09682876616716385, 'politics': 0.08709097653627396}",0.22630195319652557,0.08709097653627396,0.09682876616716385,0.5897783041000366,wildlife,0.5897783041000366
We don't need to be an indigenous person to show support. Its time to treat the NATIVE right and take climate change seriously #NoDAPL,"{'politics': 0.6242422461509705, 'wildlife': 0.23022140562534332, 'technology': 0.0827275887131691, 'finance': 0.06280875205993652}",0.0827275887131691,0.6242422461509705,0.06280875205993652,0.23022140562534332,politics,0.6242422461509705
@RepDonBeyer Be sure to personally invite me to this like you said you did at the climate change forum. Never got it ,"{'politics': 0.7318316102027893, 'technology': 0.1104561910033226, 'wildlife': 0.09000344574451447, 'finance': 0.0677088126540184}",0.1104561910033226,0.7318316102027893,0.0677088126540184,0.09000344574451447,politics,0.7318316102027893
Join LeoDiCaprio as he searches for answers on the issue of climate change. #BeforeTheFlood starts now! ,"{'wildlife': 0.35284149646759033, 'technology': 0.2818397581577301, 'politics': 0.23487935960292816, 'finance': 0.1304393857717514}",0.2818397581577301,0.23487935960292816,0.1304393857717514,0.35284149646759033,wildlife,0.35284149646759033
"@goodthngs IÃ¢â‚¬â„¢m creating a new think tank for climate change, would you join and post your tweet also at  ?","{'politics': 0.3532353937625885, 'technology': 0.3272208273410797, 'wildlife': 0.20104925334453583, 'finance': 0.11849446594715118}",0.3272208273410797,0.3532353937625885,0.11849446594715118,0.20104925334453583,politics,0.3532353937625885
This whole global warming thing really is unfortunate...,"{'wildlife': 0.33959677815437317, 'politics': 0.32079145312309265, 'technology': 0.22394372522830963, 'finance': 0.11566810309886932}",0.22394372522830963,0.32079145312309265,0.11566810309886932,0.33959677815437317,wildlife,0.33959677815437317
Listen to 58 years of climate change in one minute ,"{'technology': 0.30954766273498535, 'wildlife': 0.30248531699180603, 'politics': 0.2128889262676239, 'finance': 0.1750781536102295}",0.30954766273498535,0.2128889262676239,0.1750781536102295,0.30248531699180603,technology,0.30954766273498535
